isodate,hospitalizados
2020-04-01,93
2020-04-02,129
2020-04-03,129
2020-04-04,289
2020-04-05,304
2020-04-06,283
2020-04-07,483
2020-04-08,1070
2020-04-09,1383
2020-04-10,1381
2020-04-11,1622
2020-04-12,1752
2020-04-13,1847
2020-04-14,1602
2020-04-15,1705
2020-04-16,1792
2020-04-17,2062
2020-04-18,2264
2020-04-19,2401
2020-04-20,2690
2020-04-21,3074
2020-04-22,2857
2020-04-23,3340
2020-04-24,3350
2020-04-25,3561
2020-04-26,3788
2020-04-27,4250
2020-04-28,4675
2020-04-29,5792
2020-04-30,6140
2020-05-01,6589
2020-05-02,6649
2020-05-03,6857
2020-05-04,7029
2020-05-05,7312
2020-05-06,7233
2020-05-07,7490
2020-05-08,7712
2020-05-09,7804
2020-05-10,7758
2020-05-11,8388
2020-05-12,8678
2020-05-13,8790
2020-05-14,9133
2020-05-15,9267
2020-05-16,9443
2020-05-17,9694
2020-05-18,10041
2020-05-19,10014
2020-05-20,10086
2020-05-21,10226
2020-05-22,10366
2020-05-23,10023
2020-05-24,10129
2020-05-25,10655
2020-05-26,10862
2020-05-27,10859
2020-05-28,10937
2020-05-29,10932
2020-05-30,10728
2020-05-31,10901
2020-06-01,11321
2020-06-02,11765
2020-06-03,11725
2020-06-04,11711
2020-06-05,11678
2020-06-06,11720
2020-06-07,11966
2020-06-08,11994
2020-06-09,12636
2020-06-10,12630
2020-06-11,12747
2020-06-12,12712
2020-06-13,11988
2020-06-14,12448
2020-06-15,12896
2020-06-16,12996
2020-06-17,13031
2020-06-18,13149
2020-06-19,13351
2020-06-20,12831
2020-06-21,13264
2020-06-22,13716
2020-06-23,13636
2020-06-24,13993
2020-06-25,13988
2020-06-26,13869
2020-06-27,13115
2020-06-28,13752
2020-06-29,14372
2020-06-30,14604
2020-07-01,14532
2020-07-02,14519
2020-07-03,15013
2020-07-04,14193
2020-07-05,14753
2020-07-06,15171
2020-07-07,15166
2020-07-08,15392
2020-07-09,15318
2020-07-10,15467
2020-07-11,14950
2020-07-12,15255
2020-07-13,15693
2020-07-14,15730
2020-07-15,15742
2020-07-16,15729
2020-07-17,15474
2020-07-18,15560
2020-07-19,15973
2020-07-20,16142
2020-07-21,16270
2020-07-22,16181
2020-07-23,16339
2020-07-24,16216
2020-07-25,15855
2020-07-26,15954
2020-07-27,16158
2020-07-28,16079
2020-07-29,16017
2020-07-30,16151
2020-07-31,15892
2020-08-01,15387
2020-08-02,15702
2020-08-03,15701
2020-08-04,15903
2020-08-05,15637
2020-08-06,15269
2020-08-07,15044
2020-08-08,14476
2020-08-09,14405
2020-08-10,14669
2020-08-11,14667
2020-08-12,14396
2020-08-13,14189
2020-08-14,14106
2020-08-15,13659
2020-08-16,13797
2020-08-17,13786
2020-08-18,13776
2020-08-19,13867
2020-08-20,13678
2020-08-21,13402
2020-08-22,12740
2020-08-23,13024
2020-08-24,13199
2020-08-25,13058
2020-08-26,13006
2020-08-27,12740
2020-08-28,12862
2020-08-29,12268
2020-08-30,12299
2020-08-31,12594
2020-09-01,12448
2020-09-02,12160
2020-09-03,12089
2020-09-04,11663
2020-09-05,11503
2020-09-06,11445
2020-09-07,11922
2020-09-08,11675
2020-09-09,11533
2020-09-10,11394
2020-09-11,10990
2020-09-12,10489
2020-09-13,10749
2020-09-14,10997
2020-09-15,10739
2020-09-16,10379
2020-09-17,10651
2020-09-18,10692
2020-09-19,10093
2020-09-20,10243
2020-09-21,10423
2020-09-22,10158
2020-09-23,9777
2020-09-24,9762
2020-09-25,9324
2020-09-26,8776
2020-09-27,8735
2020-09-28,9310
2020-09-29,9208
2020-09-30,9098
2020-10-01,9194
2020-10-02,8819
2020-10-03,8645
2020-10-04,8792
2020-10-05,8977
2020-10-06,9108
2020-10-07,9156
2020-10-08,9016
2020-10-09,8994
2020-10-10,8643
2020-10-11,8835
2020-10-12,9524
2020-10-13,9721
2020-10-14,9583
2020-10-15,9518
2020-10-16,9662
2020-10-17,9495
2020-10-18,9602
2020-10-19,10200
2020-10-20,10346
2020-10-21,10396
2020-10-22,10528
2020-10-23,10450
2020-10-24,10171
2020-10-25,10297
2020-10-26,10869
2020-10-27,5018
2020-10-28,10799
2020-10-29,10909
2020-10-30,10915
2020-10-31,10444
2020-11-01,10487
2020-11-02,10752
2020-11-03,11044
2020-11-04,10801
2020-11-05,10874
2020-11-06,10987
2020-11-07,10422
2020-11-08,10478
2020-11-09,11010
2020-11-10,11450
2020-11-11,11031
2020-11-12,11662
2020-11-13,11444
2020-11-14,11153
2020-11-15,11311
2020-11-16,11355
2020-11-17,11866
2020-11-18,12119
2020-11-19,12314
2020-11-20,12340
2020-11-21,11771
2020-11-22,12107
2020-11-23,12566
2020-11-24,12772
2020-11-25,12721
2020-11-26,12742
2020-11-27,12731
2020-11-28,12527
2020-11-29,12548
2020-11-30,12800
2020-12-01,13220
2020-12-02,13058
2020-12-03,13322
2020-12-04,12917
2020-12-05,12673
2020-12-06,12803
2020-12-07,13485
